time,pressure_level
2022-05-23 03:55:53,746.83
2022-05-23 03:58:23,746.82
2022-05-23 04:00:53,746.83
2022-05-23 04:03:23,746.82
2022-05-23 04:05:53,746.85
2022-05-23 04:08:23,746.84
2022-05-23 04:10:53,746.87
2022-05-23 04:13:23,746.9
2022-05-23 04:15:53,746.96
2022-05-23 04:18:23,746.97
2022-05-23 04:20:53,747.01
2022-05-23 04:23:23,747.01
2022-05-23 04:25:53,747.03
2022-05-23 04:28:23,747.05
2022-05-23 04:30:53,747.04
2022-05-23 04:33:23,747.07
2022-05-23 04:35:53,747.05
2022-05-23 04:38:23,747.12
2022-05-23 04:40:53,747.13
2022-05-23 04:43:23,747.11
2022-05-23 04:45:53,747.12
2022-05-23 04:48:23,747.12
2022-05-23 04:50:53,747.06
2022-05-23 04:53:24,747.15
2022-05-23 04:55:53,747.2
2022-05-23 04:58:23,747.3
2022-05-23 05:00:53,747.28
2022-05-23 05:03:23,747.26
2022-05-23 05:05:53,747.22
2022-05-23 05:08:23,747.29
2022-05-23 05:10:53,747.28
2022-05-23 05:13:24,747.34
2022-05-23 05:15:53,747.37
2022-05-23 05:18:23,747.42
2022-05-23 05:20:53,747.48
2022-05-23 05:23:23,747.45
2022-05-23 05:25:53,747.45
2022-05-23 05:28:23,747.45
2022-05-23 05:30:53,747.52
2022-05-23 05:33:23,747.52
2022-05-23 05:35:53,747.48
2022-05-23 05:38:23,747.52
2022-05-23 05:40:53,747.52
2022-05-23 05:43:23,747.45
2022-05-23 05:45:53,747.46
2022-05-23 05:48:23,747.39
2022-05-23 05:50:53,747.41
2022-05-23 05:53:23,747.45
2022-05-23 05:55:53,747.46
2022-05-23 05:58:23,747.47
2022-05-23 06:00:53,747.4
2022-05-23 06:03:23,747.42
2022-05-23 06:05:53,747.35
2022-05-23 06:08:23,747.28
2022-05-23 06:10:53,747.2
2022-05-23 06:13:23,747.19
2022-05-23 06:15:53,747.21
2022-05-23 06:18:23,747.18
2022-05-23 06:20:53,747.16
2022-05-23 06:23:23,747.06
2022-05-23 06:25:53,747.06
2022-05-23 06:28:23,747.07
2022-05-23 06:30:53,747.06
2022-05-23 06:33:23,746.97
2022-05-23 06:35:53,747.02
2022-05-23 06:38:23,746.98
2022-05-23 06:40:53,746.93
2022-05-23 06:43:23,746.97
2022-05-23 06:45:53,746.99
2022-05-23 06:48:23,746.94
2022-05-23 06:50:53,746.96
2022-05-23 06:53:23,746.99
2022-05-23 06:55:53,747.05
2022-05-23 06:58:23,747.09
2022-05-23 07:00:53,747.19
2022-05-23 07:03:23,747.29
2022-05-23 07:05:53,747.35
2022-05-23 07:08:23,747.44
2022-05-23 07:10:53,747.51
2022-05-23 07:13:23,747.6
2022-05-23 07:15:53,747.7
2022-05-23 07:18:23,747.79
2022-05-23 07:20:53,747.91
2022-05-23 07:23:23,748.04
2022-05-23 07:25:53,748.09
2022-05-23 07:28:23,748.15
2022-05-23 07:30:53,748.22
2022-05-23 07:33:23,748.16
2022-05-23 07:35:53,748.21
2022-05-23 07:38:23,748.23
2022-05-23 07:40:53,748.21
2022-05-23 07:43:23,748.24
2022-05-23 07:45:53,748.27
2022-05-23 07:48:23,748.27
2022-05-23 07:50:53,748.22
2022-05-23 07:53:23,748.24
2022-05-23 07:55:53,748.26
2022-05-23 07:58:23,748.4
2022-05-23 08:00:53,748.45
2022-05-23 08:03:23,748.41
2022-05-23 08:05:53,748.35
2022-05-23 08:08:23,748.34
2022-05-23 08:10:53,748.31
2022-05-23 08:13:23,748.32
2022-05-23 08:15:53,748.28
2022-05-23 08:18:23,748.29
2022-05-23 08:20:53,748.27
2022-05-23 08:23:23,748.37
2022-05-23 08:25:53,748.41
2022-05-23 08:28:23,748.39
2022-05-23 08:30:53,748.4
2022-05-23 08:33:23,748.48
2022-05-23 08:35:53,748.49
2022-05-23 08:38:23,748.48
2022-05-23 08:40:53,748.5
2022-05-23 08:43:23,748.59
2022-05-23 08:45:53,748.65
2022-05-23 08:48:23,748.73
2022-05-23 08:50:53,748.69
2022-05-23 08:53:23,748.75
2022-05-23 08:55:53,748.77
2022-05-23 08:58:23,748.76
2022-05-23 09:00:53,748.82
2022-05-23 09:03:23,748.86
2022-05-23 09:05:53,748.91
2022-05-23 09:08:23,748.91
2022-05-23 09:10:53,748.87
2022-05-23 09:13:23,748.96
2022-05-23 09:15:53,748.95
2022-05-23 09:18:23,748.95
2022-05-23 09:20:53,748.94
2022-05-23 09:23:23,748.9
2022-05-23 09:25:53,748.87
2022-05-23 09:28:23,748.86
2022-05-23 09:30:53,748.82
2022-05-23 09:33:23,748.77
2022-05-23 09:35:53,748.73
2022-05-23 09:38:23,748.67
2022-05-23 09:40:53,748.62
2022-05-23 09:43:23,748.56
2022-05-23 09:45:53,748.52
2022-05-23 09:48:23,748.45
2022-05-23 09:50:53,748.39
2022-05-23 09:53:23,748.35
